SITE_ID,NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
260,Antigonish County Court House,Palais de justice du comté d'Antigonish,170 Main Street,<Null>,Antigonish,Nova Scotia,"Typical mid 19th-century Maritime court house, 1855",Édifice typique des palais de justice construits dans les Maritimes au milieu du XIXe siècle (1855),45.623206,-61.987757
1817,Apitipik,Apitipik,Mouth of the Duparquet River on Lake Abitibi,<Null>,Pikogan Indian Reserve,Quebec,Traditional summering area and sacred place for the Algonquin,Aire d'estivage traditionnelle et lieu sacré pour les Algonquins,48.664028,-79.324281
581,Apothecaries Hall,Apothecaries Hall,150 Queen Street,on the Hughes Drug Company Building,Charlottetown,Prince Edward Island,Prominent 19th-century pharmacy; one of the longest continually operated pharmacies in Canada,Emplacement d'une pharmacie réputée du XIXe siècle; une des pharmacies ayant connu la plus longue période d'activité ininterrompue au Canada,46.234632,-63.128084
582,Ardgowan,Ardgowan,1 Confederation Street - 2 Palmers Lane,on wall,Charlottetown,Prince Edward Island,"Residence of Father of Confederation William Henry Pope, circa 1850","Maison habitée par William Henry Pope, père de la Confédération; construite vers 1850",46.251826,-63.126329
2101,Argyle Township Court House and Gaol,Palais de justice et prison du canton d'Argyle,8168 Highway 3,<Null>,Tusket,Nova Scotia,Oldest known surviving combined court house and jail,Palais de justice-prison le plus ancien parmi ceux qui existent encore et dont on connaÎt l'existence,43.854893,-65.974456
166,Arts Building,Pavillon des Arts,<Null>,"Kings College, University of New Brunswick",Fredericton,New Brunswick,"Oldest extant university building in Canada, 1826-27","Le plus vieux édifice universitaire encore en usage au Canada, 1826-1827",45.948274,-66.641256
847,Arvia'juaq and Qikiqtaarjuk,Arvia'juaq et Qikiqtaarjuk,<Null>,<Null>,"Qikiqtarjuac, Sentry Island",Nunavut,Inuit summer occupation sites with rich history and surviving in situ resources,"Site où les Inuit séjournaient durant l'été, doté d'une riche histoire et d'importantes ressources in situ",61.151644,-93.920039
,Arvida,Arvida,,,Arvida,Quebec,,,48.429625,-71.193883
28,Athabasca Pass,Col Athabasca,<Null>,"near ""The Communities Punch Bowl""",Jasper National Park of Canada,Alberta,Major fur trade transportation route through the Rocky Mountains,Importante voie de communication pour le commerce des fourrures qui traverse les Rocheuses,52.380719,-118.185948
1987,Atlas Nº 3 Coal Mine,Mine de charbon Atlas Numéro Trois,<Null>,<Null>,East Coulee,Alberta,Exceptionally well-preserved coal mine plant,Usine de charbon très bien conservée,51.329498,-112.481841
2096,Atwater Library of the Mechanics' Institute of Montreal,Bibliothèque Atwater du Mechanics' Institute of Montreal,1200 Atwater Avenue,<Null>,Montréal,Quebec,Home to the first Mechanics' Institute in Canada (established 1828); oldest subscription library in Canada,Premier Mechanics' Institute à avoir vu le jour au Canada (1828); la plus ancienne bibliothèque de prêt payant fondée en sol canadien,45.488679,-73.584278
193,Augustine Mound,Tumulus Augustine,<Null>,<Null>,Red Bank Indian Reserve (Metepenagiag),New Brunswick,Pre-contact burial mound,Tertre funéraire de la période pré-contact,46.955225,-65.832503
1872,Backhouse Grist Mill,Moulin à Farine Backhouse,Backus Mills Rd.,Backus Heritage Conservation Area,Port Rowan,Ontario,"One of the oldest and best preserved small water-powered establishments, 1798",L'un des plus vieux moulins actionnés par l'eau et l'un des mieux préservés (1798),42.653518,-80.468524
537,Balmoral Fire Hall,Caserne de Pompiers Balmoral,Balmoral Avenue,<Null>,Toronto,Ontario,"Rare Queen Anne Revival fire hall, 1911",Rare spécimen d'une caserne de pompiers de style néo-Queen Anne (1911),43.685787,-79.39389
1993,Banc de Pêche de Paspébiac,Banc de Pêche de Paspébiac,Third Street (South end),<Null>,Paspébiac,Quebec,Fishing complex recalling the cod fishery of Canada's East Coast,Installations de pêche commémorant la pêche à la morue sur la côte est du Canada,48.020836,-65.254225
1,Banff Park Museum,Musée du Parc-Banff,91 Banff Avenue,"on a panel in front of the building, Banff",Banff National Park of Canada,Alberta,"Early natural history museum in Rustic style, 1902-03",Vieux musée d'histoire naturelle de style Rustique (1902-03),51.173769,-115.571671
2,Banff Springs Hotel,Hôtel Banff Springs,Spray Avenue,Banff,Banff National Park of Canada,Alberta,"Famous railway resort hotel in Château style, 1912",Hôtel de villégiature réputé construit par une société ferroviaire dans le style Château (1912,51.164362,-115.56183
650,Bank of Montréal,Banque de Montréal,1850 Notre Dame Street Ouest at Des Seigneurs,<Null>,Montréal,Quebec,"Queen Anne Revival style in sandstone, built in 1894",Édifice de grès de style néo-Queen Anne construit en 1894,45.487781,-73.568735
538,Bank of Upper Canada Building,Banque du Haut-Canada,252 Adelaide Street East,front wall of building,Toronto,Ontario,Home of important 19th-century bank,Édifice ayant abrité une importante banque du XIXe siècle,43.651823,-79.370885
1850,Banting House,Maison Banting,442 Adelaide Street North,<Null>,London,Ontario,Documented and recognized as the site of the defining moment of the discovery of insulin,Documentée et reconnue comme étant l'endroit où fut découverte l'insuline,42.989967,-81.231917
40,Bar U Ranch,Ranch Bar U,PO Box 168,<Null>,Longview,Alberta,"Historic ranch in Alberta foothills, 1883",Ranch historique situé au contrefort des Rocheuses en Alberta (1883),50.422812,-114.245099
933,Barkerville,Barkerville,<Null>,<Null>,Barkerville,British Columbia,Centre of the Cariboo gold fields which led to economic and political development of British Columbia,La ruée vers l'or de 1860 a mené au développement économique et politique de la Colombie-Britannique,53.069736,-121.514211
382,Barnum House,Maison Barnum,10568 Highway 2 at Barnum House Road,side grounds alongside highway,Grafton,Ontario,"Neoclassic domestic architecture, circa 1820","Spécimen d'architecture domestique de style néo-classique, vers 1820",43.991017,-78.043583
250,Basilica of St. John the Baptist,Basilique catholique St. John the Baptist,172 Military Road,<Null>,St. John's,Newfoundland and Labrador,"Romanesque Revival basilica, important role in the religious, political and social history of its region","Basilique romane datant de 1839, symbole de l'influence de l'église catholique à Terre-Neuve (1839-55)",47.567187,-52.710164
740,Batoche,Batoche,PO Box 999,beside interpretive centre,Batoche,Saskatchewan,Métis village; site of 1885 Battle of Batoche; Northwest Rebellion,Village métis; lieu de la bataille de Batoche en 1885; Rébellion du Nord-Ouest,52.753665,-106.111193
1806,Battle Harbour Historic District,Arrondissement historique de Battle Harbour,<Null>,"30 ft from a plaque which was erected in 1997 commemorating ""Labrador Fishery and Battle Harbour"".",Battle Harbour,Newfoundland and Labrador,District evocative of the 19th- and early 20th-century fishing outports of Newfoundland and Labrador,District évoquant les petits ports de pêche isolés de Terre-Neuve et du Labrador au XIXe siècle et au début du XXe,52.274001,-55.585402
571,Battle Hill,Colline de la Bataille,Longwoods Road,<Null>,Wardsville,Ontario,"Raid by Americans on small advancing British force, 1814; War of 1812","Emplacement de la bataille des Longwoods, 1814; guerre de 1812",42.694133,-81.70565
531,Battle of Beaver Dams,Bataille de Beaver Dams,near Sullivan Avenue,Battle of Beaver Dams Park,Thorold,Ontario,1813 British victory (Laura Secord);  War of 1812,Lieu où les Anglais ont remporté une victoire en 1813 (Laura Secord); guerre de 1812,43.12275,-79.201483
365,Battle of Chippawa,Bataille de Chippawa,Niagara River Parkway,Battle of Chippawa Park,Chippawa,Ontario,1814 battle in which American regulars defeat British; War of 1812,Lieu où s'est livrée une bataille en 1814; guerre de 1812,43.05265,-79.0241
572,Battle of Cook's Mills,Bataille de Cook's Mills,Lyons Creek and Matthews Roads,<Null>,Cooks Mills,Ontario,"One of final battles of the War of 1812, Americans prevail in battle but later withdraw to Fort Erie",Lieu où les Anglais ont remporté une victoire pendant la guerre de 1812,42.997917,-79.1749
431,Battle of Crysler's Farm,Bataille de la ferme Crysler,<Null>,Upper Canada Village,Morrisburg,Ontario,One of decisive battles of War of 1812; British victory over Americans; ends American attempt to capture Montreal,Lieu où s'est livrée une des batailles décisives de la guerre de 1812,44.941913,-75.070109
746,Battle of Cut Knife Hill,Bataille de Cut Knife,<Null>,<Null>,"Cut Knife, Poundmaker Reserve",Saskatchewan,Cree repulse Canadian attack; Northwest Rebellion 1885,Les cris repoussent une attaque des Canadiens (1885); Rébellion du Nord-Ouest,52.839209,-108.962422
747,Battle of Duck Lake,Bataille de Duck Lake,Carlton Road,<Null>,Duck Lake,Saskatchewan,First battle of 1885 Northwest Rebellion,Première bataille engagée pendant la Rébellion du Nord-Ouest (1885),52.824277,-106.274239
622,Battle of Eccles Hill,Bataille d'Eccles Hill,Eccles Hill Road,<Null>,Frelighsburg,Quebec,"Foiled Fenian invasion, 1870",Incursion des Fenians qui a échoué (1870),45.019293,-72.90434
637,Battle of Lacolle,Bataille de Lacolle,corner of highway 202 east and 223 north,<Null>,Notre-Dame-du-Mont-Carmel,Quebec,"Defence against American attack, 1814; War of 1812","Défense contre une attaque des Américains, 1814; guerre de 1812",45.067556,-73.343815
435,Battle of Lundy's Lane,Bataille de la ruelle de Lundy,<Null>,on Lundy's Lane Monument in cemetery,Niagara Falls,Ontario,Bloodiest battle of War of 1812,Lieu où s'est livrée la bataille la plus sanglante de toute la guerre de 1812,43.089259,-79.09586
664,Battle of Rivière des Prairies / Battle of Coulée Grou,Bataille de Rivière-des-Prairies / combat de la coulée Grou,13470 Gouin Boulevard East - Highway 37,<Null>,Montréal,Quebec,1690 battle between French and Iroquois,Lieu où Français et Iroquois se sont livré bataille en 1690,45.698864,-73.503834
721,"Battle of September 6th, 1775",Bataille du 6 septembre 1775,Jacques-Cartier Street South,St. John's Golf Club,Saint-Jean-sur-Richelieu,Quebec,"British victory over invading Americans, 1775",Victoire des Anglais contre l'envahisseur américain,45.280184,-73.256696
149,Battle of Seven Oaks,Bataille de Seven Oaks,1611 Main Street at Rupertsland Blvd.,<Null>,Winnipeg,Manitoba,"Conflict between Métis and Red River settlers, 1816",Escarmouche entre des Métis et des colons de la rivière Rouge (1816),49.93135,-97.120867
528,Battle of Stoney Creek,Bataille de Stoney Creek,77 King Street West,<Null>,Stoney Creek,Ontario,British victory; War of 1812,Lieu où les Anglais ont remporté une victoire pendant la guerre de 1812,43.216633,-79.76645
642,Battle of the Cedars,Bataille des Cèdres,River Road,<Null>,Les Cèdres,Quebec,1776 British victory over invading American army,"Victoire des Anglais contre l'envahissseur américain, 1776",45.309915,-74.035331
597,Battle of the Châteauguay,Bataille de la Châteauguay,2371 Rivière-Châteauguay-Nord,<Null>,Allans Corners,Quebec,1813 battle in defence of Lower Canada; War of 1812,Bataille ayant eu lieu en 1813 pour défendre le Bas-Canada; guerre de 1812,45.158851,-73.928586
724,Battle of the Lake of Two Mountains,Bataille du Lac-des-Deux-Montagnes,north side of Senneville Road,1928 - Highway 37 / 1972 - north side of Senneville Road,Montréal,Quebec,"Defeat of Iroquois by French, 1689",Lieu où les Français ont défait les Iroquois en 1689,45.447907,-73.940145
710,Battle of the Restigouche,Bataille de la Ristigouche,Route 132,Right of the path from the parking area to the Parks Canada Interpretation Centre,Pointe-à-la-Croix,Quebec,Last naval battle in Seven Years' War,Lieu de dernier combat naval de la guerre de Sept Ans,48.013427,-66.735395
503,Battle of the Windmill,Bataille du Moulin-à-Vent,County Road 2 East,<Null>,Prescott,Ontario,"American invasion mission foiled, 1838",Tentative de soulèvement que les Britanniques ont fait échouer en 1838,44.721236,-75.487364
748,Battle of Tourond's Coulee / Fish Creek,Bataille de la coulée des Tourond – Fish Creek,<Null>,<Null>,Fish Creek,Saskatchewan,"Battle between Métis and Canadian forces, Northwest Rebellion 1885",Lieu où des Métis et des troupes canadiennes se sont livré bataille en 1885; Rébellion du Nord-Ouest,52.53901,-106.152659
735,Battle of Trois-Rivières,Bataille de Trois-Rivières,"near 956, boulevard des Forges / Laflèche Street",<Null>,Trois-Rivières,Quebec,"British victory over American troops, 1776","Lieu où les Anglais ont remporté une victoire contre des troupes américaines, 1776",46.343908,-72.551879
1248,Battlefield of Fort George,Champ de Bataille du Fort George,Queen Street,<Null>,Niagara-on-the-Lake,Ontario,"War of 1812, capture of Fort George by Americans, May 1813","Guerre de 1812, capture du Fort George par les Américains en 1813",43.261948,-79.084746
741,Battleford Court House,Palais de justice de Battleford,291 23rd Street,On wall of court house,Battleford,Saskatchewan,1909 symbol of justice in new province,"Édifice construit en 1909, symbole de la justice dans la nouvelle province",52.73695,-108.311312
89,Bay Street Drill Hall,Manège militaire de la rue Bay,715 Bay Street,<Null>,Victoria,British Columbia,"Fortress-like World War I drill hall, 1914-15","Manège militaire du genre forteresse qui date de la Première Guerre mondiale, 1914-1915",48.43538,-123.36395
1991,BCATP Hangar No. 1,Hangar Numéro Un du PEACB,Highway 10 (2 km north of Hwy 1),"Commonwealth Air Training Museum, Brandon Municipal Airport",Brandon,Manitoba,"Excellent, well-preserved example of a British Commonwealth Air Training Plan hangar built during World War II",Un excellent exemple bien préservé d'un hangar du Plan d'entraînement aérien du Commonwealth britannique construit durant la Seconde Guerre mondiale,49.903583,-99.94345
539,Bead Hill,Colline Bead,72 & 98 Old Kingston Road,<Null>,Toronto,Ontario,Only known remaining and intact 17th-century Seneca site in Canada,Le seul site Sénéca connu encore existant et intact du 17e siècle au Canada,43.803579,-79.140913
2102,Beaubassin,Beaubassin,Highway 4,Fort Lawrence,Fort Lawrence,Nova Scotia,Major Acadian settlement; pivotal place in 17th- and 18th-century North American geopolitical struggle between the British and French,Important établissement acadien; point central de la lutte géopolitique qui opposa les français et britannique aux XVIIe et XVIIIe siècles en Amérique du Nord,45.847286,-64.261052
2005,Beaubears Island Shipbuilding,Construction Navale à l'Île Beaubears,"Highway 8, Northwest Bridge",<Null>,Miramichi,New Brunswick,Archaeological site associated with nineteenth-century shipbuilding in New Brunswick,Site archéologique associé à la construction navale du XIXe siècle au Nouveau-Brunswick,46.977393,-65.562429
600,Beauharnois Power Development,Centrale hydro-électrique de Beauharnois,80 Edgar Hébert Boulevard,<Null>,Beauharnois,Quebec,"Economically and technologically important, 1929-32",Construite entre 1929 et 1932; important sur le plan tant économique que technique,45.314055,-73.908635
11,Beaulieu,Beaulieu,707 13th Avenue SW,<Null>,Calgary,Alberta,"Sandstone mansion of Sir James A. Lougheed, 1891","Maison cossue en grès de sir James A. Lougheed, construite en 1891",51.040417,-114.076717
1799,Beaumont-Hamel,Beaumont-Hamel,<Null>,at the Beaumont-Hamel Newfoundland Memorial,Beaumont-Hamel,France,"Represents Newfoundland's accomplishment, contribution and sacrifice in World War I","Représentatif des réalisations, de la contribution et du sacrifice de Terre-Neuve durant la Première Guerre mondiale",50.072266,2.647839
2340,Beausoleil Island,Île Beausoleil,<Null>,<Null>,Beausoleil Island,Ontario,Representative of the cultural landscape of the Anishinaabeg of the southern Georgian Bay region; setting for traditional narratives,Est représentative du paysage culturel des Anishinaabeg du sud de la baie Georgienne; sert de cadre aux récits traditionnels,44.848012,-79.865367
838,Bedford Petroglyphs,Pétroglyphes de Bedford,<Null>,<Null>,Bedford,Nova Scotia,Spiritually significant petroglyph site,Site de pétroglyphes d'importance spirituelle,44.729511,-63.668185
820,Beechey Island Sites,Sites de l'île Beechey,<Null>,<Null>,Beechey Island,Nunavut,1845-46 wintering site of Sir John Franklin's ill-fated Northwest Passage Expedition; archaeological complex containing representatives of most types of 19th century Arctic exploration,Sites liés à l'exploration dans l'Arctique au XIXe siècle,74.709272,-91.812351
1969,Beechwood Cemetery,Cimetière Beechwood,280 Beechwood Avenue,<Null>,Ottawa,Ontario,"Exceptional example of 19th-century rural cemetery design characterized by a naturalistic, pastoral and picturesque landscape","Exemple exceptionnel des cimetières ruraux du XIXe siècle, modèle de cimetière que caractérise un aménagement naturel, champêtre et pittoresque",45.445317,-75.66685
1857,Begbie Hall,Begbie Hall,2101 Richmond Street,Royal Jubilee Hospital,Victoria,British Columbia,Nurses' residences were central to the nursing culture,Les résidences d'infirmières étaient un élément essentiel de la culture infirmière,48.43123,-123.32953
601,Bélanger-Girardin House,Maison Bélanger-Girardin,600 Royale Avenue,<Null>,Beauport,Quebec,Representative of early French regime houses; 1727-35,"Représentative des maisons construites sous le Régime français, vers 1727-1735",46.859261,-71.191965
1791,Bell Homestead,Maison familiale rurale de Bell,94 Tutela Heights Road,<Null>,Brantford,Ontario,Location of important events in Alexander Graham Bell's life,Site d'événements importants dans la vie d'Alexander Graham Bell,43.107896,-80.27078
345,Belle Vue,Belle Vue,525 Dalhousie Street,Mounted on post in front of house,Amherstburg,Ontario,"Military residence in Palladian style, 1816-19","Résidence militaire de style palladien, 1816-1819",42.092867,-83.112483
350,Belleville Railway Station (Grand Trunk),Gare du Grand Tronc à Belleville,220 Station Street,<Null>,Belleville,Ontario,"Typical mid 19th-century Grand Trunk design, 1855-56",Édifice typique des gares construites par le Grand Tronc au milieu du XXe siècle (1855-56),44.179333,-77.374717
394,Bellevue House,Villa Bellevue,35 Centre Street,<Null>,Kingston,Ontario,"Important Italianate villa 1840's; home of Sir John A. Macdonald, Prime Minister of Canada (1867-73, 1878-91)","Importante villa à l'italienne 1840's; maison de sir John A. Macdonald, premier ministre du Canada (1867-1873, 1878-1891)",44.22285,-76.504333
184,Belmont House / R. Wilmot Home,Maison Belmont / maison R. Wilmot,Highway 102 / Thatch Road,In front of house,Lincoln,New Brunswick,"Home of politician and Father of Confederation, Robert Duncan Wilmot, circa 1820",Maison où a vécu l'homme politique et père de la Confédération Robert Duncan Wilmot dans les années 1820,45.870355,-66.516425
602,Berthier Railway Station (Canadian Pacific),Gare du Canadien Pacifique à Berthier,<Null>,<Null>,Sainte-Geneviève-de-Berthier,Quebec,"Functional and domestic in style, early 1890s",Gare fonctionnelle du début des années 1890; style qui s'inspire de l'architecture domestique,46.088408,-73.212472
681,Beth Israël Cemetery,Cimetière Beth Israël,Réné Levesque Boulevard,<Null>,Québec,Quebec,19th-century cemetery reflecting Jewish burial traditions,Cimetière du XIXe siècle qui témoigne des coutumes funéraires des juifs,46.784427,-71.259634
1746,Bethune Memorial House,Maison Commémorative Bethune,235 John Street North,<Null>,Gravenhurst,Ontario,Birthplace of Doctor Norman Bethune; of symbolic significance to the Chinese and possibly Canada's most prominent international humanitarian,Lieu de naissance du dr Norman Bethune; héros national des Chinois et peut-être le plus grand humanitaire internation canadien,44.920933,-79.37615
573,Bethune-Thompson House / White House,Maison Bethune-Thompson / maison White,19730 John Street,north west of house on east side of driveway,Williamstown,Ontario,"Early Ontario home, begun 1780, historic construction techniques",Vieille maison de l'Ontario dont la construit a débuté en 1780; techniques de construite historiques,45.143681,-74.574863
744,Biggar Railway Station (Grand Trunk Pacific),Gare du Grand Tronc à Biggar,Main Street and First Avenue,<Null>,Biggar,Saskatchewan,"Typical 1910 station, reflects railway impact on the West","Gare typique de 1910, traduit l'influence du chemin de fer dans l'Ouest",52.053409,-107.986542
455,Billings House,Maison Billings,2100 Cabot Street,between parking lot and house,Ottawa,Ontario,"Georgian homestead, 1828",Maison de ferme de style néo-Georgien  (1828),45.389758,-75.672712
2008,Billy Bishop Boyhood Home,Maison d'enfance de Billy Bishop,948 Third Avenue West,Mounted on post in front of house,Owen Sound,Ontario,Only surviving property in Canada strongly associated with the renowned  World War I flying ace,Seule propriété encore debout au Canada qui soit associée de près à cet as de l'aviation de la Première Guerre mondiale,44.566117,-80.947767
1852,Binning Residence,Maison Binning,2968 Mathers Crescent,<Null>,West Vancouver,British Columbia,Early and remarkable illustration of architecture in the modern era; 1941,L'un des premiers exemples remarquables d'architecture moderne; 1941,49.3403,-123.19725
540,Birkbeck Building,Édifice Birkbeck,8-10 Adelaide Street East,<Null>,Toronto,Ontario,"Edwardian Baroque financial institution, 1908",Établissement financier dans le style baroque d'Édouard VII (1908),43.650744,-79.377875
2198,Black Watch (Royal Highland Regiment) of Canada Armoury,Manège militaire du Black Watch (Royal Highland Regiment) of Canada,2067 de Bleury Street,<Null>,Montréal,Quebec,Testament to the important roles played by armouries in Canada; important focus and centre for civic activities,"Rôle important qu'ont eu, sous de nombreux rapports, les manège militaires du Canada; a été et continue d'être un centre pour les activités communautaires",45.507801,-73.569789
274,Black-Binney House,Maison Black-Binney,1472 Hollis Street,On wall of house,Halifax,Nova Scotia,"Palladian urban residence, 1819",Maison de ville du style palladien construite en 1819,44.643812,-63.571247
7,Blackfoot Crossing,Blackfoot Crossing,<Null>,<Null>,"Blackfoot Crossing, Cluny",Alberta,Traditional meeting place on Blackfoot reserve,Lieu de rencontre traditionnel à l'intérieur de la réserve des Pieds-Noirs,50.793583,-112.901
325,Blacklead Island Whaling Station,Poste de pêche à la baleine de l'île Blacklead,<Null>,<Null>,Blacklead Island,Nunavut,One of the most important Aboriginal and European whaling stations and vessel-wintering sites in Cumberland Sound,Compte parmi les postes autochtones et européennes de pêche à la baleine et les hivernages qu'ait abrités la baie Cumberland,64.914638,-66.322142
2181,Blanc-Sablon,Blanc-Sablon,Route 138 just east of bridge over Blanc Sablon River,mounted on two posts beside Route 138 just east of bridge over Blanc Sablon River,Blanc-Sablon,Quebec,60 archaeological sites reflect the changes that occurred in Aboriginal societies in this region,Plus d'une soixantaine de sites archéologiques attestent les changements survenus au sein des sociétés autochtones de cette région,51.428266,-57.146155
