Ref_Date,GEO,PRODUCT,DISAPPEARANCE,Vector,Coordinate,Value
1944,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,541.86
1945,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,534.84
1946,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,486.01
1947,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,510.46
1948,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,498.61
1949,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,453.65
1950,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,458.93
1951,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,446.04
1952,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,441.03
1953,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,443.25
1954,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,441
1955,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,445.56
1956,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,451.54
1957,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,441.8
1958,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,424.41
1959,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,408.75
1960,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,393.65
1961,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,381.42
1962,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,392.61
1963,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,403.41
1964,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,401.37
1965,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,397.53
1966,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,385.86
1967,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,376.69
1968,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,368.8
1969,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,360.72
1970,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,362.58
1971,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,360.67
1972,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,356.69
1973,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,349.42
1974,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,350.38
1975,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,330.56
1976,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,327.21
1977,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,317.99
1920,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1367514
1921,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1481316
1922,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1508980
1923,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1595984
1924,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1636924
1925,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1728178
1926,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1736134
1927,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1667334
1928,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1640961
1929,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1610197
1930,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1748387
1931,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1917568
1932,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1880474
1933,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1886505
1934,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1952737
1935,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1951123
1936,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1994014
1937,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1960711
1938,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2115945
1939,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2115544
1940,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1878290
1941,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1864995
1942,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,1994456
1943,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2153328
1944,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2243451
1945,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2281156
1946,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2390047
1947,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2338217
1948,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2226928
1949,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2264566
1950,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2299944
1951,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2309612
1952,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2364838
1953,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2456630
1954,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2532755
1955,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2650096
1956,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2769857
1957,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2723374
1958,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2716494
1959,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2672710
1960,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2654425
1961,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2603127
1962,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2602801
1963,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2627980
1964,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2660849
1965,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2679129
1966,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2638823
1967,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2590339
1968,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2538524
1969,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2496203
1970,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2513114
1971,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2521442
1972,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2573814
1973,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2609624
1974,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2637165
1975,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2572833
1976,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2649419
1977,Canada,Fluid products,Total domestic disappearance (kilolitres),v72555,1.2.1,2673996
1920,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,159.83
1921,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,168.56
1922,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,169.19
1923,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,177.13
1924,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,179.04
1925,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,185.95
1926,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,183.7
1927,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,173.01
1928,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,166.85
1929,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,160.56
1930,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,171.28
1931,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,184.81
1932,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,178.92
1933,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,177.42
1934,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,181.8
1935,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,179.91
1936,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,182.1
1937,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,177.52
1938,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,189.74
1939,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,187.76
1940,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,165.04
1941,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,163.38
1942,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,174.1
1943,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,187.36
1944,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,194.27
1945,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,195.81
1946,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,195.08
1947,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,186.3
1948,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,173.67
1949,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,172.84
1950,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,172.14
1951,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,169.23
1952,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,167.9
1953,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,169.87
1954,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,170.08
1955,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,173.3
1956,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,176.81
1957,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,168.26
1958,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,163.17
1959,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,156.83
1960,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,152.36
1961,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,146.41
1962,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,143.68
1963,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,142.15
1964,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,141.23
1965,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,139.61
1966,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,134.95
1967,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,130.09
1968,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,125.53
1969,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,121.69
1970,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,120.79
1971,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,116.78
1972,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,117.95
1973,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,118.23
1974,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,117.76
1975,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,113.2
1976,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,115.07
1977,Canada,Fluid products,Per capita domestic disappearance,v72561,1.2.2,114.68
1920,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2101224
1921,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2413403
1922,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2491574
1923,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2691911
1924,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2676906
1925,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2706235
1926,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2844612
1927,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2890442
1928,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2990663
1929,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3120181
1930,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3219917
1931,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3243089
1932,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3220225
1933,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3248349
1934,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3360201
1935,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3412900
1936,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3478149
1937,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3557156
1938,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3538293
1939,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3568541
1940,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3615550
1941,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3612907
1942,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3789293
1943,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3250980
1944,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3449712
1945,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3354639
1946,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3017267
1947,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3370896
1948,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3514160
1949,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3022304
1950,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3138009
1951,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3048717
1952,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3066698
1953,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3141547
1954,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3194306
1955,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3262846
1956,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3376466
1957,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3445254
1958,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3343365
1959,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3237024
1960,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3091335
1961,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3061925
1962,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3382929
1963,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3684677
1964,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3734023
1965,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3710426
1966,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3619589
1967,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3506362
1968,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3465179
1969,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3355138
1970,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3408504
1971,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3413174
1972,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3288545
1973,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,3040587
1974,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2996106
1975,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2722923
1976,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2658475
1977,Canada,Butter,Total domestic disappearance (kilolitres),v72556,1.3.1,2402455
1920,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,245.58
1921,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,274.62
1922,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,279.36
1923,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,298.77
1924,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,292.78
1925,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,291.18
1926,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,300.99
1927,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,299.93
1928,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,304.08
1929,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,311.12
1930,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,315.43
1931,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,312.56
1932,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,306.4
1933,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,305.5
1934,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,312.84
1935,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,314.7
1936,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,317.64
1937,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,322.06
1938,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,317.28
1939,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,316.72
1940,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,317.68
1941,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,316.5
1942,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,330.77
1943,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,282.86
1944,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,298.73
1945,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,287.95
1946,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,246.27
1947,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,268.58
1948,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,274.05
1949,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,226.2
1950,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,228.85
1951,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,217.63
1952,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,212.1
1953,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,211.62
1954,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,208.96
1955,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,207.85
1956,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,209.97
1957,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,207.42
1958,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,195.75
1959,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,185.15
1960,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,172.99
1961,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,167.89
1962,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,182.04
1963,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,194.3
1964,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,193.22
1965,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,188.56
1966,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,180.53
1967,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,171.53
1968,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,166.82
1969,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,159.09
1970,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,159.23
1971,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,158.05
1972,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,150.7
1973,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,137.76
